2024-05-29 18:30:39,856 INFO    MainThread:287578 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-05-29 18:30:39,857 INFO    MainThread:287578 [wandb_setup.py:_flush():76] Configure stats pid to 287578
2024-05-29 18:30:39,857 INFO    MainThread:287578 [wandb_setup.py:_flush():76] Loading settings from /home/admin1/.config/wandb/settings
2024-05-29 18:30:39,857 INFO    MainThread:287578 [wandb_setup.py:_flush():76] Loading settings from /home/admin1/5703-upload/5703/Transformer_VQA_no/wandb/settings
2024-05-29 18:30:39,857 INFO    MainThread:287578 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-05-29 18:30:39,857 INFO    MainThread:287578 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-05-29 18:30:39,857 INFO    MainThread:287578 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'run_vqa2.py', 'program_abspath': '/home/admin1/5703-upload/5703/Transformer_VQA_no/run_vqa2.py', 'program': '/home/admin1/5703-upload/5703/Transformer_VQA_no/run_vqa2.py'}
2024-05-29 18:30:39,857 INFO    MainThread:287578 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-05-29 18:30:39,857 INFO    MainThread:287578 [wandb_init.py:_log_setup():527] Logging user logs to /home/admin1/5703-upload/5703/Transformer_VQA_no/wandb/run-20240529_183039-1ug61soa/logs/debug.log
2024-05-29 18:30:39,857 INFO    MainThread:287578 [wandb_init.py:_log_setup():528] Logging internal logs to /home/admin1/5703-upload/5703/Transformer_VQA_no/wandb/run-20240529_183039-1ug61soa/logs/debug-internal.log
2024-05-29 18:30:39,857 INFO    MainThread:287578 [wandb_init.py:init():567] calling init triggers
2024-05-29 18:30:39,857 INFO    MainThread:287578 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {'config': 'config'}
2024-05-29 18:30:39,857 INFO    MainThread:287578 [wandb_init.py:init():617] starting backend
2024-05-29 18:30:39,857 INFO    MainThread:287578 [wandb_init.py:init():621] setting up manager
2024-05-29 18:30:39,859 INFO    MainThread:287578 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-05-29 18:30:39,861 INFO    MainThread:287578 [wandb_init.py:init():629] backend started and connected
2024-05-29 18:30:39,865 INFO    MainThread:287578 [wandb_init.py:init():721] updated telemetry
2024-05-29 18:30:39,865 INFO    MainThread:287578 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-05-29 18:30:40,746 INFO    MainThread:287578 [wandb_run.py:_on_init():2344] communicating current version
2024-05-29 18:30:41,994 INFO    MainThread:287578 [wandb_run.py:_on_init():2353] got version response upgrade_message: "wandb version 0.17.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-05-29 18:30:41,994 INFO    MainThread:287578 [wandb_init.py:init():805] starting run threads in backend
2024-05-29 18:30:45,019 INFO    MainThread:287578 [wandb_run.py:_console_start():2323] atexit reg
2024-05-29 18:30:45,019 INFO    MainThread:287578 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-05-29 18:30:45,019 INFO    MainThread:287578 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-05-29 18:30:45,020 INFO    MainThread:287578 [wandb_run.py:_redirect():2268] Redirects installed.
2024-05-29 18:30:45,020 INFO    MainThread:287578 [wandb_init.py:init():848] run started, returning control to user process
