2024-06-06 22:57:42,299 INFO    MainThread:551065 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-06-06 22:57:42,300 INFO    MainThread:551065 [wandb_setup.py:_flush():76] Configure stats pid to 551065
2024-06-06 22:57:42,300 INFO    MainThread:551065 [wandb_setup.py:_flush():76] Loading settings from /home/admin1/.config/wandb/settings
2024-06-06 22:57:42,300 INFO    MainThread:551065 [wandb_setup.py:_flush():76] Loading settings from /home/admin1/5703-upload/5703/Transformer_VQA_no/wandb/settings
2024-06-06 22:57:42,300 INFO    MainThread:551065 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-06 22:57:42,300 INFO    MainThread:551065 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-06 22:57:42,300 INFO    MainThread:551065 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'run_vqa2.py', 'program_abspath': '/home/admin1/5703-upload/5703/Transformer_VQA_no/run_vqa2.py', 'program': '/home/admin1/5703-upload/5703/Transformer_VQA_no/run_vqa2.py'}
2024-06-06 22:57:42,300 INFO    MainThread:551065 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-06-06 22:57:42,300 INFO    MainThread:551065 [wandb_init.py:_log_setup():527] Logging user logs to /home/admin1/5703-upload/5703/Transformer_VQA_no/wandb/run-20240606_225742-nrbe9zp6/logs/debug.log
2024-06-06 22:57:42,300 INFO    MainThread:551065 [wandb_init.py:_log_setup():528] Logging internal logs to /home/admin1/5703-upload/5703/Transformer_VQA_no/wandb/run-20240606_225742-nrbe9zp6/logs/debug-internal.log
2024-06-06 22:57:42,300 INFO    MainThread:551065 [wandb_init.py:init():567] calling init triggers
2024-06-06 22:57:42,300 INFO    MainThread:551065 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {'config': 'config'}
2024-06-06 22:57:42,300 INFO    MainThread:551065 [wandb_init.py:init():617] starting backend
2024-06-06 22:57:42,300 INFO    MainThread:551065 [wandb_init.py:init():621] setting up manager
2024-06-06 22:57:42,303 INFO    MainThread:551065 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-06-06 22:57:42,304 INFO    MainThread:551065 [wandb_init.py:init():629] backend started and connected
2024-06-06 22:57:42,309 INFO    MainThread:551065 [wandb_init.py:init():721] updated telemetry
2024-06-06 22:57:42,309 INFO    MainThread:551065 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-06-06 22:57:43,386 INFO    MainThread:551065 [wandb_run.py:_on_init():2344] communicating current version
2024-06-06 22:57:46,548 INFO    MainThread:551065 [wandb_run.py:_on_init():2353] got version response 
2024-06-06 22:57:46,548 INFO    MainThread:551065 [wandb_init.py:init():805] starting run threads in backend
2024-06-06 22:57:49,196 INFO    MainThread:551065 [wandb_run.py:_console_start():2323] atexit reg
2024-06-06 22:57:49,196 INFO    MainThread:551065 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-06-06 22:57:49,197 INFO    MainThread:551065 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-06-06 22:57:49,197 INFO    MainThread:551065 [wandb_run.py:_redirect():2268] Redirects installed.
2024-06-06 22:57:49,198 INFO    MainThread:551065 [wandb_init.py:init():848] run started, returning control to user process
2024-06-06 22:58:12,442 WARNING MsgRouterThr:551065 [router.py:message_loop():77] message_loop has been closed
