"Step","albef - loss","albef - loss__MIN","albef - loss__MAX"
"0","0.3358917814493179","0.3358917814493179","0.3358917814493179"
"1","0.2469353812932968","0.2469353812932968","0.2469353812932968"
"2","0.1908105182647705","0.1908105182647705","0.1908105182647705"
"3","0.19573378443717956","0.19573378443717956","0.19573378443717956"
"4","0.17301089741289616","0.17301089741289616","0.17301089741289616"
"5","0.1473234114050865","0.1473234114050865","0.1473234114050865"
"6","0.13227370396256447","0.13227370396256447","0.13227370396256447"
"7","0.14469269871711732","0.14469269871711732","0.14469269871711732"
"8","0.1405286583304405","0.1405286583304405","0.1405286583304405"
"9","0.12775520831346512","0.12775520831346512","0.12775520831346512"
"10","0.11811283499002456","0.11811283499002456","0.11811283499002456"
"11","0.13591393694281578","0.13591393694281578","0.13591393694281578"
"12","0.12149665921926499","0.12149665921926499","0.12149665921926499"
"13","0.13631266921758653","0.13631266921758653","0.13631266921758653"
"14","0.1164525267481804","0.1164525267481804","0.1164525267481804"
"15","0.1062710876762867","0.1062710876762867","0.1062710876762867"
"16","0.09530288830399514","0.09530288830399514","0.09530288830399514"
"17","0.09857071295380593","0.09857071295380593","0.09857071295380593"
"18","0.12491328775882721","0.12491328775882721","0.12491328775882721"
"19","0.1151134206354618","0.1151134206354618","0.1151134206354618"
"20","0.10738960765302182","0.10738960765302182","0.10738960765302182"
"21","0.08216035947203636","0.08216035947203636","0.08216035947203636"
"24","0.07727035708725452","0.07727035708725452","0.07727035708725452"
"25","0.10093257710337639","0.10093257710337639","0.10093257710337639"
"26","0.0871162123978138","0.0871162123978138","0.0871162123978138"
"27","0.07948062680661679","0.07948062680661679","0.07948062680661679"
"28","0.0664501915127039","0.0664501915127039","0.0664501915127039"
"29","0.0634130248427391","0.0634130248427391","0.0634130248427391"
"30","0.08621026083827019","0.08621026083827019","0.08621026083827019"
"31","0.06064907662570476","0.06064907662570476","0.06064907662570476"
"32","0.05879246406257153","0.05879246406257153","0.05879246406257153"
"33","0.07062315464019775","0.07062315464019775","0.07062315464019775"
"34","0.08045212052762508","0.08045212052762508","0.08045212052762508"
"35","0.08206289947032928","0.08206289947032928","0.08206289947032928"
"36","0.07111848905682563","0.07111848905682563","0.07111848905682563"
"37","0.09585856568068266","0.09585856568068266","0.09585856568068266"
"38","0.08498531781136989","0.08498531781136989","0.08498531781136989"
"39","0.047166873812675474","0.047166873812675474","0.047166873812675474"
"40","0.06604774624109268","0.06604774624109268","0.06604774624109268"
"41","0.08628912024199963","0.08628912024199963","0.08628912024199963"
"42","0.04376233275979757","0.04376233275979757","0.04376233275979757"
"43","0.053565660566091536","0.053565660566091536","0.053565660566091536"
"44","0.045907110087573526","0.045907110087573526","0.045907110087573526"
"45","0.04411056546494365","0.04411056546494365","0.04411056546494365"
"48","0.030972264362499117","0.030972264362499117","0.030972264362499117"
"49","0.020203829761594534","0.020203829761594534","0.020203829761594534"
"50","0.02011701590381563","0.02011701590381563","0.02011701590381563"
"51","0.023065466904081403","0.023065466904081403","0.023065466904081403"
